,key,pressed,released,user
260,e,2021-10-20 10:12:53 994381,2021-10-20 10:12:54 103867,Alex
120,n,2021-10-20 10:12:54 119471,2021-10-20 10:12:54 244448,Alex
298,t,2021-10-20 10:12:54 213208,2021-10-20 10:12:54 463150,Alex
81,[space],2021-10-20 10:12:54 431911,2021-10-20 10:12:54 588132,Alex
340,s,2021-10-20 10:12:54 931800,2021-10-20 10:12:55 088010,Alex
316,i,2021-10-20 10:12:55 025512,2021-10-20 10:12:55 197353,Alex
121,n,2021-10-20 10:12:55 119251,2021-10-20 10:12:55 275452,Alex
326,c,2021-10-20 10:12:55 306711,2021-10-20 10:12:55 462914,Alex
261,e,2021-10-20 10:12:55 447295,2021-10-20 10:12:55 634755,Alex
82,[space],2021-10-20 10:12:55 556514,2021-10-20 10:12:55 712863,Alex
28,a,2021-10-20 10:12:55 744099,2021-10-20 10:12:55 947180,Alex
299,t,2021-10-20 10:12:55 884697,2021-10-20 10:12:56 056397,Alex
83,[space],2021-10-20 10:12:56 025282,2021-10-20 10:12:56 150257,Alex
206,l,2021-10-20 10:12:56 181367,2021-10-20 10:12:56 337721,Alex
262,e,2021-10-20 10:12:56 290833,2021-10-20 10:12:56 415824,Alex
341,s,2021-10-20 10:12:56 353332,2021-10-20 10:12:56 540795,Alex
222,[backspace],2021-10-20 10:12:56 962568,2021-10-20 10:12:57 056278,Alex
29,a,2021-10-20 10:12:57 087404,2021-10-20 10:12:57 290606,Alex
342,s,2021-10-20 10:12:57 384346,2021-10-20 10:12:57 540547,Alex
300,t,2021-10-20 10:12:57 603044,2021-10-20 10:12:57 712392,Alex
84,[space],2021-10-20 10:12:57 835045,2021-10-20 10:12:57 933450,Alex
301,t,2021-10-20 10:12:57 980296,2021-10-20 10:12:58 074009,Alex
192,h,2021-10-20 10:12:58 105243,2021-10-20 10:12:58 277090,Alex
263,e,2021-10-20 10:12:58 230230,2021-10-20 10:12:58 384464,Alex
85,[space],2021-10-20 10:12:58 308335,2021-10-20 10:12:58 466086,Alex
207,l,2021-10-20 10:12:58 481703,2021-10-20 10:12:58 606661,Alex
30,a,2021-10-20 10:12:58 591046,2021-10-20 10:12:58 747271,Alex
302,t,2021-10-20 10:12:58 700408,2021-10-20 10:12:58 856610,Alex
264,e,2021-10-20 10:12:58 794124,2021-10-20 10:12:58 981588,Alex
86,[space],2021-10-20 10:12:58 887727,2021-10-20 10:12:59 048146,Alex
385,1,2021-10-20 10:12:59 366139,2021-10-20 10:12:59 506595,Alex
386,8,2021-10-20 10:12:59 491099,2021-10-20 10:12:59 662811,Alex
387,0,2021-10-20 10:12:59 647324,2021-10-20 10:12:59 787903,Alex
388,0,2021-10-20 10:12:59 850402,2021-10-20 10:13:00 053478,Alex
343,s,2021-10-20 10:13:00 053478,2021-10-20 10:13:00 194068,Alex
87,[space],2021-10-20 10:13:01 515545,2021-10-20 10:13:01 593675,Alex
5,[maj],2021-10-20 10:13:01 640531,2021-10-20 10:13:02 031070,Alex
373,w,2021-10-20 10:13:01 859231,2021-10-20 10:13:01 984186,Alex
193,h,2021-10-20 10:13:02 327873,2021-10-20 10:13:02 452833,Alex
265,e,2021-10-20 10:13:02 452833,2021-10-20 10:13:02 562192,Alex
122,n,2021-10-20 10:13:02 577679,2021-10-20 10:13:02 734013,Alex
88,[space],2021-10-20 10:13:02 734013,2021-10-20 10:13:02 890236,Alex
327,c,2021-10-20 10:13:03 140165,2021-10-20 10:13:03 249510,Alex
172,o,2021-10-20 10:13:03 218280,2021-10-20 10:13:03 312017,Alex
155,m,2021-10-20 10:13:03 436852,2021-10-20 10:13:03 468221,Alex
106,p,2021-10-20 10:13:03 561957,2021-10-20 10:13:03 671305,Alex
31,a,2021-10-20 10:13:03 671305,2021-10-20 10:13:03 827521,Alex
143,r,2021-10-20 10:13:03 765014,2021-10-20 10:13:03 890001,Alex
